Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,previsão
2019-01-03,15.404703656258189,15.561749704486898,15.181033579650954,15.41422176361084,397400,0.0,0.0,14.912316
2019-01-04,15.466571284854698,15.904393354452496,15.304767081874326,15.780661582946776,963400,0.0,0.0,14.92273
2019-01-07,15.856807462963216,16.304147720336914,15.785422548893663,16.304147720336914,1273800,0.0,0.0,15.365304
2019-01-08,16.32318179321903,16.565889016828095,16.18041379924557,16.551610946655273,2394600,0.0,0.0,15.885746
2019-01-09,16.618234758635808,16.76100455828752,16.180412698191237,16.39456558227539,1806600,0.0,0.0,16.061079
2019-01-10,16.232763753801205,16.42788045104675,16.06144142150879,16.06144142150879,1713200,0.0,0.0,15.844599
2019-01-11,16.39456564759651,16.39456564759651,16.023366708573867,16.109027862548828,629400,0.0,0.0,15.506052
2019-01-14,16.06144036493309,16.366012573242188,15.733073793236144,16.366012573242188,1401800,0.0,0.0,15.639859
2019-01-15,16.418361467473648,16.465950194845124,15.975779404423305,16.1804141998291,762600,0.0,0.0,15.910409
2019-01-16,16.166137944696374,16.199450416935125,15.866323879154043,16.1804141998291,983600,0.0,0.0,15.62735
2019-01-17,16.18041269782094,16.599200358309993,15.956741706072233,16.55636978149414,1334000,0.0,0.0,15.691362
2019-01-18,16.537332398813398,16.82286834716797,16.442153144230776,16.82286834716797,677000,0.0,0.0,16.122631
2019-01-21,16.799076746410922,16.894256016625558,16.37553090011906,16.70389747619629,413200,0.0,0.0,16.338388
2019-01-22,16.656306752437118,17.008469465404584,16.423117659129918,16.727691650390625,948400,0.0,0.0,16.1555
2019-01-23,16.93232839763118,17.05130203117701,16.603960007192807,16.927568435668945,631600,0.0,0.0,16.229849
2019-01-24,17.04653931773807,17.284486546422738,16.837146410037146,17.208343505859375,1809600,0.0,0.0,16.449957
2019-01-28,17.17979175016195,17.60333940539515,16.951362594362827,17.536712646484375,1611400,0.0,0.0,16.72855
2019-01-29,17.603338118627704,17.736587995921848,17.28924782543906,17.503398895263672,861800,0.0,0.0,17.052893
2019-01-30,17.48436596979929,17.846045016697857,17.470087899318298,17.774660110473633,1844400,0.0,0.0,16.954521
2019-01-31,17.78893680493127,17.888874213599887,17.49864087131854,17.60333824157715,993600,0.0,0.0,17.29617
2019-02-01,17.484364242445338,17.603337864136087,16.8609418112442,17.16551399230957,2899000,0.0,0.0,17.033503
2019-02-04,17.170275162782705,17.56050852417381,17.170275162782705,17.322561264038086,1543000,0.0,0.0,16.583567
2019-02-05,17.412978338125196,17.81748790236643,17.165513001445944,17.79369354248047,1405600,0.0,0.0,16.859344
2019-02-06,17.750867451745815,17.760385561182783,17.146481117951456,17.33683967590332,1027600,0.0,0.0,17.336367
2019-02-07,17.341593948979202,17.351112056289917,16.58968162536621,16.58968162536621,2755600,0.0,0.0,16.708487
2019-02-08,16.642031181352802,17.170274364766108,16.385047716655503,16.894254684448242,939400,0.0,0.0,15.973762
2019-02-11,17.046540493757863,17.046540493757863,16.19468892060418,16.456432342529297,1692000,0.0,0.0,16.485811
2019-02-12,16.989433947157625,17.022746416796892,16.58492253449111,16.894254684448242,4313200,0.0,0.0,15.848581
2019-02-13,16.851425550243484,16.941844859094992,16.65630886190548,16.803836822509766,857200,0.0,0.0,16.491062
2019-02-14,16.684861968103277,17.260693882397998,16.589682704199934,17.1322021484375,1447000,0.0,0.0,16.248611
2019-02-15,17.260694262138085,17.270212370277164,16.775281639405925,17.084613800048828,673400,0.0,0.0,16.681086
2019-02-18,17.132202124070737,17.132202124070737,16.642031366446844,16.870460510253906,497600,0.0,0.0,16.539677
2019-02-19,16.78955625929577,17.0370216006383,16.69437881795838,16.937084197998047,484800,0.0,0.0,16.322233
2019-02-20,16.87521701676981,17.04178116602728,16.527814280857868,16.66106414794922,871600,0.0,0.0,16.449732
2019-02-21,16.556369781122573,16.86570011110263,16.33269878937888,16.71817398071289,579400,0.0,0.0,16.096493
2019-02-22,16.64203044734559,16.82286904158463,15.98053741455078,15.98053741455078,1741400,0.0,0.0,16.236668
2019-02-25,16.066195806724647,16.413600352197644,15.890115368825215,16.323179244995117,1989600,0.0,0.0,15.333133
2019-02-26,16.323181162620987,16.456432858522827,15.942465921601729,15.99957275390625,585400,0.0,0.0,15.933914
2019-02-27,16.070956553911326,16.099510875802466,15.628374549262045,15.942464828491213,1539000,0.0,0.0,15.416133
2019-02-28,15.899634253351172,16.009089764177194,15.69975944629322,15.942464828491213,923200,0.0,0.0,15.454301
2019-03-01,15.875840483686918,16.16613641317464,15.852046122255372,16.132823944091797,1143200,0.0,0.0,15.449834
2019-03-06,16.03764538155811,16.118546577028035,15.5236784383604,15.813974380493164,1074800,0.0,0.0,15.671979
2019-03-07,15.985295590762805,15.994813698171273,15.614098478799288,15.918670654296877,698000,0.0,0.0,15.242877
2019-03-08,15.756868360452456,16.561129471884556,15.752108398477176,16.442155838012695,1172600,0.0,0.0,15.463946
2019-03-11,16.599201628357307,16.979916887298025,16.4754680345806,16.751487731933594,772400,0.0,0.0,16.034899
2019-03-12,16.789559149786324,17.132203806849276,16.651551109930317,17.11792755126953,1776600,0.0,0.0,16.268078
2019-03-13,17.28448761173512,17.45104995592298,16.480226582752692,16.84190559387207,4180600,0.0,0.0,16.649183
2019-03-14,16.841904681229032,17.027503230521962,16.75148538719725,16.761003494262695,296200,0.0,0.0,16.25644
2019-03-15,16.918048244257296,17.650926172365132,16.784798372017093,17.27496910095215,1270400,0.0,2.0,16.253136
2019-03-18,16.851422274864518,17.35587104160374,16.851422274864518,17.317798614501953,408400,0.0,0.0,16.853695
2019-03-19,17.232139713505898,17.470086967706397,17.046541145692462,17.17027473449707,529400,0.0,0.0,16.773396
2019-03-20,17.170274364766108,17.170274364766108,16.827629745169705,16.894254684448242,430000,0.0,0.0,16.6246
2019-03-21,17.027506682847545,17.027506682847545,16.442156595092733,16.608720779418945,414000,0.0,0.0,16.341074
2019-03-22,16.251799937237372,16.413604160124486,15.8615665435791,15.861566543579102,404600,0.0,0.0,16.064753
2019-03-25,15.861564511394516,16.151858630640543,15.699760309237766,15.923429489135742,585000,0.0,0.0,15.233974
2019-03-26,16.123305530278458,16.542091366622977,15.71403598601113,16.380287170410156,895200,0.0,2.0,15.48602
2019-03-27,16.380289913095464,16.380289913095464,15.399948279594778,15.799699783325195,554200,0.0,0.0,15.963839
2019-03-28,16.1233061167421,16.46594892117866,15.685482234137822,16.247037887573242,1350300,0.0,0.0,15.159472
